Year,Month Average,Rainfall,Temperature
2005,Apr Average,57.2831,26.7171
2005,May Average,83.5191,25.1366
2005,Jun Average,20.1572,24.1579
2005,Jul Average,19.2082,23.5231
2005,Aug Average,24.0252,23.9151
2005,Sep Average,18.9451,25.2023
2005,Oct Average,64.2847,25.1685
2005,Nov Average,46.147,25.3178
2005,Dec Average,18.656,25.4102
2006,Jan Average,22.1909,26.012
2006,Feb Average,22.2449,26.9355
2006,Mar Average,82.786,27.0357
2006,Apr Average,131.79,25.8867
2006,May Average,83.3955,24.986
2006,Jun Average,25.9291,24.4074
2006,Jul Average,26.0609,23.548
2006,Aug Average,44.2328,24.2949
2006,Sep Average,49.3262,24.1269
2006,Oct Average,94.12,25.8045
2006,Nov Average,174.698,25.1589
2006,Dec Average,79.3671,24.8899
2007,Jan Average,34.3716,25.5855
2007,Feb Average,25.0993,26.4363
2007,Mar Average,50.4786,26.6092
2007,Apr Average,105.91,26.0444
2007,May Average,90.5702,25.5509
2007,Jun Average,23.7514,23.7128
2007,Jul Average,39.9548,22.7807
2007,Aug Average,64.4247,23.6905
2007,Sep Average,66.5627,24.7334
2007,Oct Average,46.6673,25.5032
2007,Nov Average,57.0503,24.8829
2007,Dec Average,48.9737,25.1843
2008,Jan Average,26.4445,25.9522
2008,Feb Average,28.524,26.0127
2008,Mar Average,121.991,26.2269
2008,Apr Average,85.7628,25.4593
2008,May Average,63.9306,24.5696
2008,Jun Average,23.9265,23.5775
2008,Jul Average,21.3722,23.2604
2008,Aug Average,29.2983,24.4005
2008,Sep Average,32.8981,25.4872
2008,Oct Average,86.2573,25.3388
2008,Nov Average,110.582,24.499
2008,Dec Average,13.715,24.8051
2009,Jan Average,32.8746,25.6666
2009,Feb Average,28.0516,26.1369
2009,Mar Average,22.3291,27.0794
2009,Apr Average,92.9484,26.8432
2009,May Average,72.8358,25.418
2009,Jun Average,30.4692,24.6483
2009,Jul Average,18.3059,23.8074
2009,Aug Average,19.4447,24.7409
2009,Sep Average,19.6691,25.2241
2009,Oct Average,130.978,25.6667
2009,Nov Average,77.4053,25.5432
2009,Dec Average,89.9905,26.582
2010,Jan Average,46.9243,26.2326
2010,Feb Average,44.5868,26.4022
2010,Mar Average,96.3101,27.0585
2010,Apr Average,109.239,26.7494
2010,May Average,72.8616,25.2216
2010,Jun Average,45.9529,24.1788
2010,Jul Average,16.5458,23.5993
2010,Aug Average,33.5338,24.1275
2010,Sep Average,16.7171,24.7352
2010,Oct Average,50.512,25.7465
2010,Nov Average,59.7331,25.2708
2010,Dec Average,42.677,25.984
2011,Jan Average,19.4906,26.1305
2011,Feb Average,28.7876,26.0875
2011,Mar Average,83.5573,26.8969
2011,Apr Average,65.3496,27.0179
2011,May Average,84.732,25.8316
2011,Jun Average,27.0977,24.4374
2011,Jul Average,18.9236,23.8652
2011,Aug Average,23.6642,23.9092
2011,Sep Average,35.2312,24.8131
2011,Oct Average,93.8432,24.8914
2011,Nov Average,113.547,24.9862
2011,Dec Average,42.9499,25.0738
2012,Jan Average,46.5721,24.9748
2012,Feb Average,15.5346,25.9048
2012,Mar Average,23.3394,27.5007
2012,Apr Average,107.882,26.1119
2012,May Average,95.6116,25.5211
2012,Jun Average,38.07,24.1384
2012,Jul Average,26.9273,23.423
2012,Aug Average,36.3185,24.3426
2012,Sep Average,42.0646,25.22
2012,Oct Average,89.3439,25.7267
2012,Nov Average,124.175,25.4841
2012,Dec Average,110.374,24.5937
2013,Jan Average,42.9715,25.5601
2013,Feb Average,16.8768,26.66
2013,Mar Average,145.511,27.1454
2013,Apr Average,152.402,25.0039
2013,May Average,68.7326,25.5921
2013,Jun Average,27.0903,23.2803
2013,Jul Average,25.5887,23.7706
2013,Aug Average,51.8061,23.5732
2013,Sep Average,45.2457,25.195
2013,Oct Average,36.5215,25.2564
2013,Nov Average,84.2852,25.812
2013,Dec Average,72.66,25.3371
2014,Jan Average,20.1543,25.6409
2014,Feb Average,34.7628,26.6889
2014,Mar Average,60.4054,26.8922
2014,Apr Average,61.9105,25.4701
2014,May Average,66.4223,25.6096
2014,Jun Average,43.8258,25.0937
2014,Jul Average,27.0972,24.5677
2014,Aug Average,36.4492,23.8324
2014,Sep Average,47.0196,24.8383
2014,Oct Average,63.8456,25.4047
2014,Nov Average,102.131,25.4512
2014,Dec Average,50.6548,25.4477
2015,Jan Average,26.2482,25.0435
2015,Feb Average,21.8238,26.386
2015,Mar Average,48.4594,26.5572
2015,Apr Average,136.338,26.0706
2015,May Average,101.457,25.0663
2015,Jun Average,70.9284,24.5884
2015,Jul Average,20.7931,24.4622
2015,Aug Average,17.9734,24.3538
2015,Sep Average,36.7493,25.425
2015,Oct Average,64.3615,26.9733
2015,Nov Average,163.608,25.2908
2015,Dec Average,63.2356,26.2345
2016,Jan Average,56.7251,27.0367
2016,Feb Average,18.22,27.5964
2016,Mar Average,30.4865,27.7507
2016,Apr Average,166.705,26.9416
2016,May Average,70.6712,25.3344
2016,Jun Average,34.905,24.2913
2016,Jul Average,34.5489,24.256
2016,Aug Average,25.5342,24.0942
2016,Sep Average,15.1428,24.437
2016,Oct Average,40.0055,26.0317
2016,Nov Average,121.997,25.5692
2016,Dec Average,100.261,25.7401
